No;Kode Wilayah;Wilayah;Tahun;Jumlah Pencari Kerja 
1;32.04.07;CILENGKRANG;2021;19
2;32.04.46;KUTAWARINGIN;2021;88
3;32.04.11;KATAPANG;2021;97
4;32.04.13;BANJARAN;2021;63
5;32.04.25;CICALENGKA;2021;18
6;32.04.17;CIMAUNG;2021;32
7;32.04.37;SOREANG;2021;131
8;32.04.28;RANCAEKEK;2021;57
9;32.04.14;PAMEUNGPEUK;2021;30
10;32.04.38;PASIRJAMBU;2021;189
11;32.04.34;SOLOKANJERUK;2021;10
12;32.04.39;CIWIDEY;2021;210
13;32.04.15;PANGALENGAN;2021;33
14;32.04.29;CIPARAY;2021;64
15;32.04.10;MARGAASIH;2021;104
16;32.04.09;MARGAHAYU;2021;60
17;32.04.35;PASEH;2021;19
18;32.04.32;BALEENDAH;2021;91
19;32.04.44;CANGKUANG;2021;63
20;32.04.08;BOJONGSOANG;2021;40
21;32.04.05;CILEUNYI;2021;71
22;32.04.06;CIMENYAN;2021;57
23;32.04.30;PACET;2021;69
24;32.04.16;ARJASARI;2021;46
25;32.04.12;DAYEUHKOLOT;2021;55
26;32.04.36;IBUN;2021;4
27;32.04.33;MAJALAYA;2021;28
28;32.04.31;KERTASARI;2021;18
29;32.04.27;CIKANCUNG;2021;11
30;32.04.26;NAGREG;2021;11
31;32.04.40;RANCABALI;2021;197
32;32.04.07;CILENGKRANG;2021;10
33;32.04.46;KUTAWARINGIN;2021;54
34;32.04.11;KATAPANG;2021;65
35;32.04.13;BANJARAN;2021;63
36;32.04.25;CICALENGKA;2021;19
37;32.04.17;CIMAUNG;2021;31
38;32.04.37;SOREANG;2021;93
39;32.04.28;RANCAEKEK;2021;44
40;32.04.14;PAMEUNGPEUK;2021;28
41;32.04.38;PASIRJAMBU;2021;58
42;32.04.34;SOLOKANJERUK;2021;10
43;32.04.39;CIWIDEY;2021;38
44;32.04.15;PANGALENGAN;2021;35
45;32.04.29;CIPARAY;2021;44
46;32.04.10;MARGAASIH;2021;61
47;32.04.09;MARGAHAYU;2021;31
48;32.04.35;PASEH;2021;11
49;32.04.32;BALEENDAH;2021;86
50;32.04.44;CANGKUANG;2021;35
51;32.04.08;BOJONGSOANG;2021;25
52;32.04.05;CILEUNYI;2021;54
53;32.04.06;CIMENYAN;2021;27
54;32.04.30;PACET;2021;40
55;32.04.16;ARJASARI;2021;20
56;32.04.12;DAYEUHKOLOT;2021;45
57;32.04.36;IBUN;2021;3
58;32.04.33;MAJALAYA;2021;22
59;32.04.31;KERTASARI;2021;18
60;32.04.27;CIKANCUNG;2021;5
61;32.04.26;NAGREG;2021;4
62;32.04.40;RANCABALI;2021;49
63;32.04.37;SOREANG;2022;1.109
64;32.04.37;SOREANG;2022;1.486
65;32.04.16;ARJASARI;2022;505
66;32.04.08;BOJONGSOANG;2022;1.616
67;32.04.33;MAJALAYA;2022;344
68;32.04.37;SOREANG;2022;244
69;32.04.05;CILEUNYI;2022;1.299
70;32.04.39;CIWIDEY;2022;258
71;32.04.10;MARGAASIH;2022;65
72;32.04.17;CIMAUNG;2022;88
73;32.04.25;CICALENGKA;2022;152
74;32.04.26;NAGREG;2022;88
75;32.04.12;DAYEUHKOLOT;2022;32
76;32.04.32;BALEENDAH;2022;85
77;32.04.11;KATAPANG;2022;85
78;32.04.46;KUTAWARINGIN;2022;65
